Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Total,72,0.11,0,0.00,0.00,62623416,2006,Pertussis
North Region,60,0.50,0,0.00,0.00,11887142,2006,Pertussis
Zone:1,60,1.04,0,0.00,0.00,5748673,2006,Pertussis
Chiang Mai,0,0.00,0,0.00,0.00,1654154,2006,Pertussis
Chiang Rai,0,0.00,0,0.00,0.00,1225386,2006,Pertussis
Lampang,0,0.00,0,0.00,0.00,775259,2006,Pertussis
Lamphun,0,0.00,0,0.00,0.00,405146,2006,Pertussis
Mae Hong Son,0,0.00,0,0.00,0.00,254392,2006,Pertussis
Nan,60,12.56,0,0.00,0.00,477871,2006,Pertussis
Phayao,0,0.00,0,0.00,0.00,486554,2006,Pertussis
Phrae,0,0.00,0,0.00,0.00,469911,2006,Pertussis
Zone:2,0,0.00,0,0.00,0.00,3448091,2006,Pertussis
Phetchabun,0,0.00,0,0.00,0.00,1002388,2006,Pertussis
Phitsanulok,0,0.00,0,0.00,0.00,842739,2006,Pertussis
Sukhothai,0,0.00,0,0.00,0.00,609591,2006,Pertussis
Tak,0,0.00,0,0.00,0.00,524938,2006,Pertussis
Uttaradit,0,0.00,0,0.00,0.00,468435,2006,Pertussis
Zone:3,0,0.00,0,0.00,0.00,2690378,2006,Pertussis
Kamphaeng Phet,0,0.00,0,0.00,0.00,728293,2006,Pertussis
Nakhon Sawan,0,0.00,0,0.00,0.00,1076911,2006,Pertussis
Phichit,0,0.00,0,0.00,0.00,558314,2006,Pertussis
Uthai Thani,0,0.00,0,0.00,0.00,326860,2006,Pertussis
Central Region,1,0.00,0,0.00,0.00,20825142,2006,Pertussis
Bangkok,0,0.00,0,0.00,0.00,5677455,2006,Pertussis
Zone:4,0,0.00,0,0.00,0.00,2858658,2006,Pertussis
Ang Thong,0,0.00,0,0.00,0.00,283861,2006,Pertussis
Nonthaburi,0,0.00,0,0.00,0.00,985669,2006,Pertussis
P.Nakhon S.Ayutthaya,0,0.00,0,0.00,0.00,750757,2006,Pertussis
Pathum Thani,0,0.00,0,0.00,0.00,838371,2006,Pertussis
Zone:5,0,0.00,0,0.00,0.00,1915186,2006,Pertussis
Chai Nat,0,0.00,0,0.00,0.00,339568,2006,Pertussis
Lop Buri,0,0.00,0,0.00,0.00,752364,2006,Pertussis
Saraburi,0,0.00,0,0.00,0.00,605897,2006,Pertussis
Sing Buri,0,0.00,0,0.00,0.00,217357,2006,Pertussis
Zone:6,0,0.00,0,0.00,0.00,3315213,2006,Pertussis
Kanchanaburi,0,0.00,0,0.00,0.00,830309,2006,Pertussis
Nakhon Pathom,0,0.00,0,0.00,0.00,815433,2006,Pertussis
Ratchaburi,0,0.00,0,0.00,0.00,826212,2006,Pertussis
Suphan Buri,0,0.00,0,0.00,0.00,843259,2006,Pertussis
Zone:7,0,0.00,0,0.00,0.00,1598232,2006,Pertussis
Phetchaburi,0,0.00,0,0.00,0.00,455332,2006,Pertussis
Prachuap Khiri Khan,0,0.00,0,0.00,0.00,490607,2006,Pertussis
